
  0%|                                                    | 0/18 [00:00<?, ?it/s]
tensor(2.3304, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3311, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3463, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3380, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3284, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3406, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3437, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3315, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3368, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3477, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3427, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3450, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3330, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3473, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3312, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3445, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3393, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3362, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3382, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3442, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3359, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3348, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3418, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3324, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3234, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3330, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3241, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3315, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3322, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3268, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3343, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3347, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3252, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3312, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3345, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3402, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3393, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3409, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3286, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3353, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3269, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3349, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3436, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3399, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3392, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3304, device='mps:0', grad_fn=<NllLossBackward0>)

 22%|█████████▊                                  | 4/18 [00:22<01:11,  5.14s/it]
tensor(2.3369, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3277, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3422, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3451, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3383, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3362, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3337, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3410, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3301, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3375, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3302, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3358, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3387, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3404, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3327, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3243, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3362, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3327, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3318, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3338, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3347, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3391, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3309, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3394, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3276, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3492, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3339, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3300, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3411, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3332, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3428, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3478, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3412, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3341, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3436, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3568, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3404, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3369, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3285, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3385, device='mps:0', grad_fn=<NllLossBackward0>)
